InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
   15690000      22.512876  2.545222e-06      6545.318936       101.665717      6566.427993        58.557861  0.42  0.22639
   15700000      22.455782  2.496263e-06      6493.611156        39.562312      6520.789764        58.377204  0.29  0.19998
   15710000      22.398606  2.581554e-06      6559.285262        41.512669      6537.293240        58.194160  0.45  0.22664
   15720000      22.341525  2.497975e-06      6485.329695        51.411541      6511.974169        58.022743  0.46  0.22624
   15730000      22.284531  2.571766e-06      6559.304574        36.230240      6554.580811        57.921797  0.46  0.22624
   15740000      22.227898  2.587034e-06      6659.787551        59.581095      6618.694432        57.745944  0.39  0.22394
   15750000      22.171526  2.577303e-06      6523.993504        90.420962      6585.605496        57.659292  0.33  0.21247
   15760000      22.115286  2.567502e-06      6685.863401       169.568302      6563.278585        57.517096  0.44  0.22680
   15770000      22.059068  2.505250e-06      6541.506589        47.565171      6547.844600        57.393035  0.46  0.22624
   15780000      22.003051  2.512410e-06      6502.302798        62.133039      6549.622420        57.233928  0.44  0.22680
   15790000      21.946973  2.560048e-06      6476.587650        22.966611      6488.839809        57.035506  0.38  0.22264
   15800000      21.891009  2.562188e-06      6517.864559        88.335628      6458.768001        56.879133  0.44  0.22680
   15810000      21.835304  2.502084e-06      6448.714286        51.569026      6409.002549        56.677070  0.37  0.22109
   15820000      21.779825  2.563795e-06      6435.727150        18.283356      6425.205104        56.507347  0.41  0.22582
   15830000      21.724050  2.594364e-06      6549.627000        88.998344      6482.514309        56.303126  0.50  0.22222
   15840000      21.668384  2.571748e-06      6519.141960        81.401188      6515.714389        56.136782  0.44  0.22680
   15850000      21.612762  2.588918e-06      6433.736012        67.742315      6431.731560        56.100670  0.45  0.22664
   15860000      21.557642  2.590516e-06      6579.498707        68.243807      6517.552707        55.979970  0.47  0.22559
   15870000      21.502568  2.582557e-06      6519.294627        75.995435      6492.227716        55.887591  0.47  0.22559
